Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
16300,    0.163000,   99.869716,   -1.598484,512806.01528162,   668.93695141,513474.95223303,   0.0410390764
16400,    0.164000,   99.868112,   -1.608291,512797.78203714,   677.16994411,513474.95198126,   0.0412908498
16500,    0.165000,   99.866499,   -1.618097,512789.49843797,   685.45329151,513474.95172948,   0.0415426233
16600,    0.166000,   99.864876,   -1.627904,512781.16448411,   693.78699360,513474.95147771,   0.0417943968
16700,    0.167000,   99.863243,   -1.637711,512772.78017554,   702.17105039,513474.95122594,   0.0420461702
16800,    0.168000,   99.861600,   -1.647517,512764.34551229,   710.60546188,513474.95097416,   0.0422979437
16900,    0.169000,   99.859948,   -1.657324,512755.86049433,   719.09022806,513474.95072239,   0.0425497172
17000,    0.170000,   99.858286,   -1.667131,512747.32512168,   727.62534893,513474.95047062,   0.0428014907
17100,    0.171000,   99.856613,   -1.676937,512738.73939434,   736.21082450,513474.95021884,   0.0430532641
17200,    0.172000,   99.854932,   -1.686744,512730.10331230,   744.84665477,513474.94996707,   0.0433050376
17300,    0.173000,   99.853240,   -1.696550,512721.41687557,   753.53283973,513474.94971529,   0.0435568112
17400,    0.174000,   99.851538,   -1.706357,512712.68008414,   762.26937939,513474.94946352,   0.0438085844
17500,    0.175000,   99.849827,   -1.716164,512703.89293801,   771.05627374,513474.94921175,   0.0440603580
17600,    0.176000,   99.848106,   -1.725970,512695.05543719,   779.89352279,513474.94895997,   0.0443121315
17700,    0.177000,   99.846375,   -1.735777,512686.16758167,   788.78112653,513474.94870820,   0.0445639049
17800,    0.178000,   99.844634,   -1.745584,512677.22937146,   797.71908497,513474.94845643,   0.0448156784
17900,    0.179000,   99.842884,   -1.755390,512668.24080655,   806.70739810,513474.94820465,   0.0450674518
18000,    0.180000,   99.841123,   -1.765197,512659.20188695,   815.74606593,513474.94795288,   0.0453192253
18100,    0.181000,   99.839353,   -1.775004,512650.11261265,   824.83508845,513474.94770111,   0.0455709987
18200,    0.182000,   99.837573,   -1.784810,512640.97298366,   833.97446567,513474.94744933,   0.0458227722
18300,    0.183000,   99.835784,   -1.794617,512631.78299997,   843.16419759,513474.94719756,   0.0460745457
18400,    0.184000,   99.833984,   -1.804424,512622.54266159,   852.40428420,513474.94694579,   0.0463263192
18500,    0.185000,   99.832175,   -1.814230,512613.25196851,   861.69472551,513474.94669401,   0.0465780926
